logNN.thrstint1_x,logNN.thrstint1_y,logNN.thrstint2_x,logNN.thrstint2_y,logNN.thrstint3_x,logNN.thrstint3_y,logNN.thrstint4_x,logNN.thrstint4_y
94260.,46.,94260.,16019.,94260.,2580.,94260.,13088.
94359.,19326.,94359.,19716.,94359.,19926.,94359.,17840.
94459.,22415.,94459.,17021.,94459.,17851.,94459.,18626.
94559.,16746.,94559.,18672.,94559.,15309.,94559.,11604.
94660.,6874.,94660.,11720.,94660.,9763.,94660.,7164.
94759.,3380.,94759.,7900.,94759.,4927.,94759.,1463.
94860.,7887.,94860.,4015.,94860.,3384.,94860.,4088.
94960.,0.,94960.,0.,94960.,0.,94960.,0.
95059.,1321.,95059.,1720.,95059.,1651.,95059.,2739.
95158.,5444.,95158.,2371.,95158.,4666.,95158.,610.
95258.,3476.,95258.,1270.,95258.,4711.,95258.,5532.
95358.,0.,95358.,1535.,95358.,5162.,95358.,3788.
95460.,0.,95460.,0.,95460.,0.,95460.,0.
95560.,1085.,95560.,1008.,95560.,5743.,95560.,2316.
95660.,7333.,95660.,4733.,95660.,5027.,95660.,11189.
95760.,6999.,95760.,6785.,95760.,10014.,95760.,7922.
95860.,9178.,95860.,8129.,95860.,9178.,95860.,8755.
95958.,7991.,95958.,6129.,95958.,9674.,95958.,8842.
96058.,7109.,96058.,5517.,96058.,2134.,96058.,3177.
96158.,3198.,96158.,4372.,96158.,696.,96158.,1532.
96258.,1087.,96258.,5513.,96258.,2351.,96258.,2301.
96358.,10729.,96358.,548.,96358.,13895.,96358.,1145.
96458.,10194.,96458.,14460.,96458.,4973.,96458.,16911.
96558.,697.,96558.,15274.,96558.,3015.,96558.,11332.
96658.,26247.,96658.,22350.,96658.,28962.,96658.,29703.
96758.,22090.,96758.,17605.,96758.,16575.,96758.,17961.
96858.,17834.,96858.,12566.,96858.,16867.,96858.,20607.
96958.,9090.,96958.,6487.,96958.,8722.,96958.,11662.
97058.,3864.,97058.,5160.,97058.,5386.,97058.,4330.
97158.,2911.,97158.,590.,97158.,3360.,97158.,294.
97258.,0.,97258.,0.,97258.,0.,97258.,0.
97358.,3887.,97358.,1252.,97358.,2775.,97358.,2467.
97458.,639.,97458.,0.,97458.,4786.,97458.,0.
